recipe_id,source_file,recipe_title,cuisine_family,dish_category,protein,starch,vegetables,sauce_or_marinade,core_ingredients,cooking_method,equipment,prep_complexity_1_5,labour_intensity_1_5,batch_suitability_1_5,holding_reheat_score_1_5,delivery_suitability_1_5,customer_familiarity_1_5,premium_pricing_1_5,waste_risk_1_5,cross_utilisation_1_5,commercial_deployability_score,consumer_craving_score,abundance_illusion_score,shareability_score,scarcity_drop_potential,productization_potential,safari_lounge_fit,ghost_kitchen_fit,catering_fit,consulting_value_fit,saas_dataset_fit,best_business_model,derivative_original_ideas,commercial_notes,needs_review,dependency_control_score
rcp_457e463c8bbf,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Crock_Pot_1825_Crock_Pot_Recipes_5_years_of_Crock_Pot_Slow_Cooker.pdf,Artichoke Chicken and Rice,General / Fusion,Starch Main,chicken,rice,,,chicken; rice,braised,standard kitchen,2,2,4,2,4,4,3,2,3,16,3,5,4,2,1,3,5,5,2,4,catering tray / office bundle,Artichoke Chicken and Rice office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; works as tray, bundle, or group-buy format",no,29
rcp_78431fd5eef8,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Los_Barrios_Family_C_by_Diana_Barrios_Treviñ_z_lib_or.pdf,home-style chicken dish with tatuma squash and oregano. After only a few,Latin / Tex-Mex,Hot Main,chicken,bread,,,chicken; bread,mixed/unknown,standard kitchen,2,2,3,2,4,4,4,2,3,16,3,5,4,3,1,5,4,4,3,4,catering tray / office bundle,home-style chicken dish with tatuma squash and oregano. After only a few office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"strong commercial deployability; works as tray, bundle, or group-buy format",no,29
rcp_99857e615b3a,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The_Preppers_Cookbook_Essential_Prepping_Foods_and_Recipes_to_Deliciously.pdf,Classic Dill Pickle Spears,General / Fusion,Cold / Prep Ahead,chicken,,,,chicken,raw/cold,standard kitchen,2,2,4,3,4,3,2,1,3,16,2,2,3,1,2,2,4,3,2,3,ghost kitchen menu item,Classic Dill Pickle Spears bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,28
rcp_1de9f0214f7c,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\The_Preppers_Cookbook_Essential_Prepping_Foods_and_Recipes_to_Deliciously.pdf,Pickled Beets,General / Fusion,Cold / Prep Ahead,chicken,,,,chicken,raw/cold,standard kitchen,2,2,4,3,4,3,2,1,3,16,2,2,3,1,2,2,4,3,2,3,ghost kitchen menu item,Pickled Beets bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,28
rcp_aec90ab1bb78,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Asian Pickles.pdf,Glossary,General / Fusion,Cold / Prep Ahead,,,,,,raw/cold,standard kitchen,2,2,4,3,4,3,2,1,3,16,2,2,3,1,2,2,4,3,2,2,ghost kitchen menu item,Glossary bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,27
rcp_c009beccce52,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Asian Pickles.pdf,Resources,General / Fusion,Cold / Prep Ahead,,,,,,raw/cold,standard kitchen,2,2,4,3,4,3,2,1,3,16,2,2,3,1,2,2,4,3,2,2,ghost kitchen menu item,Resources bowl/wrap combo; delivery-safe sauce-on-side variant; lunch subscription item.,strong commercial deployability,no,27
rcp_86eb18b806ec,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Crock_Pot_1825_Crock_Pot_Recipes_5_years_of_Crock_Pot_Slow_Cooker.pdf,Dredge chicken in the flour mixture then brown in the hot oil.,General / Fusion,Hot Main,chicken,,,,chicken,braised,standard kitchen,2,2,4,2,3,4,3,2,2,14,3,4,4,2,2,3,4,5,2,3,catering tray / office bundle,Dredge chicken in the flour mixture then brown in the hot oil. office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"works as tray, bundle, or group-buy format",no,25
rcp_3dbfb06eaac8,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Crock_Pot_1825_Crock_Pot_Recipes_5_years_of_Crock_Pot_Slow_Cooker.pdf,Asian Flavors Slow Cooked Chicken,General / Fusion,Hot Main,chicken,,,,chicken,braised,standard kitchen,2,2,4,2,3,4,3,2,2,14,3,4,4,2,1,3,4,5,2,3,catering tray / office bundle,Asian Flavors Slow Cooked Chicken office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"works as tray, bundle, or group-buy format",no,25
rcp_6ab70f0d783d,D:\Books\Culinary & Hospitality\CULINARY BOOKS\02 Techniques\Crock_Pot_1825_Crock_Pot_Recipes_5_years_of_Crock_Pot_Slow_Cooker.pdf,. chicken thighs or leg quarters,General / Fusion,Hot Main,chicken,,,,chicken,braised,standard kitchen,2,2,4,2,3,4,3,2,2,14,3,4,4,2,1,3,4,5,2,3,catering tray / office bundle,. chicken thighs or leg quarters office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"works as tray, bundle, or group-buy format",no,25
rcp_6f70ed0ee7ac,D:\Books\Culinary & Hospitality\CULINARY BOOKS\03 World Cuisines\Los_Barrios_Family_C_by_Diana_Barrios_Treviñ_z_lib_or.pdf,Forword,Latin / Tex-Mex,Share Platter,chicken,,,,chicken,mixed/unknown,standard kitchen,2,2,3,2,3,4,4,2,2,14,3,4,4,3,1,5,3,4,3,3,catering tray / office bundle,Forword office tray; family allocation tray; weekend preorder bundle with premium add-ons.,"works as tray, bundle, or group-buy format",no,25
